object_id,prob,SpecType
araf_hub_faun,0.3919416968920631,SN Ia
celair_aerlinn_aes,0.2506689370173859,SN II
corch_faun_min,0.16678475683003344,SN Ia
cuin_haudh_cenedril,0.5184375950966104,AGN
eilian_pod_firiel,0.6026017513432995,SN II
elvellon_fast_annon,0.312974287428123,SN Ia
fast_celeb_bregedur,0.18542665605580766,AGN
gas_cair_gondrath,0.2414567281076571,SN II
gli_lembas_galadhrim,0.23519517794951944,SN Ia
hud_fast_hend,0.19834005188406478,SN II
ingem_hub_lembas,0.1831505104339704,SN Ia
limlug_pess_gwend,0.18888798124897296,AGN
luith_saig_aranarth,0.18803296773002506,AGN
magor_elvellon_caras,0.6467113144060626,SN II
mindon_helegnen_galad,0.1579158523414994,SN Ia
narthan_cugu_mir,0.1450297058915259,SN II
nimbrethil_adab_maethor,0.17829332122147373,SN II
onodrim_hervess_firion,0.24648467991418221,SN Ia
paich_graw_haradrim,0.1864017080088414,SN Ia
pethron_corf_menel,0.14820134157420622,SN II
riel_glae_gellui,0.23232560040952466,SN Ia
rudh_achas_lachenn,0.14829339940616387,AGN
tang_aranarth_gwanur,0.5427961361372626,AGN
tavor_hud_parf,0.6755179193899619,SN Ia
ylf_gath_dannas,0.15647382856344,SN II
Eluwaith_nestad_in,0.2568774673245236,AGN
Rochirrim_dunadan_annon,0.1676031806745488,SN Ia
Rochirrim_pennas_fervain,0.14820134157420622,SN Ia
bellas_nell_amath,0.14474262346261554,AGN
bellas_rochben_aith,0.23124134366128699,SN II
callon_pess_hand,0.29708635114088167,SN Ia
cirdan_araf_maecheneb,0.31576609589195265,SN II
cund_Mirion_dunedhel,0.20112852973358716,AGN
gath_laes_gaur,0.17911195009973868,SN Ia
gorn_narthan_agar,0.2209334419870973,AGN
harad_rochben_forodrim,0.22314948011194635,SN II
haradrim_fae_maecheneb,0.18438369625087814,SN Ia
hervess_bellas_aiglos,0.3637828164298041,SN IIn
lam_aeruil_muinthel,0.2705072482532073,SN Ia
minai_uruk_rochir,0.22278532141142468,AGN
mindon_tang_firion,0.27892057308633295,SN Ia
nana_lost_luin,0.37730786733600996,SN Ia
panas_magol_loss,0.18676126637927537,SN Ia
raug_parf_ungol,0.2590329176412658,AGN
thor_lobor_hand,0.20340266193587137,SN Ia
tirith_amath_mil,0.15269427837549304,AGN
aerlinn_raef_nimbrethil,0.14360136489773936,SN Ia
cabor_paich_galad,0.14311072787274692,AGN
calad_laug_erchion,0.17678210731894697,AGN
eryn_roch_tann,0.17994394840701805,SN Ia
galadhrim_inias_Dornhoth,0.17371853664254694,AGN
galvorn_gador_braig,0.20579814137083402,AGN
gilgalad_nidh_mir,0.14379330649652852,AGN
glaur_Rochirrim_aeglir,0.3409266602910067,AGN
gwanur_adar_anwar,0.44497807474215517,SN Ia
gwaun_naer_tamin,0.39684099244032073,AGN
gwilwileth_cair_tavor,0.15600537964891834,AGN
muinthel_cuil_uan,0.23963051860379955,AGN
nell_dam_guldur,0.45850556338950554,AGN
ruith_bain_gwachaedir,0.2791449535159581,AGN
sador_bass_tinuviel,0.16453405374129632,AGN
vin_celeb_ruith,0.215605611462064,SN Ia
Elrim_firiel_soga,0.3800295031844772,SN Ia
adel_glae_melethron,0.19585134304865384,SN Ia
corf_annon_talraph,0.5477822602390868,AGN
elu_certh_lam,0.2089563853237885,AGN
emel_annon_aith,0.15366850751132638,SN Ia
forodrim_navaer_rhach,0.28155162700567815,AGN
glae_aear_minai,0.2330477619112814,SN Ia
gli_cirdan_lobor,0.34760966045515734,SLSN-I
lacha_amlug_braig,0.21352064048041364,AGN
lachenn_galenas_tamin,0.16746624822662884,SN Ia
lebenedh_aith_aear,0.14352061330768673,AGN
lobor_gwachaedir_emel,0.2889568608714779,SN Ia
lost_muil_cabed,0.28857461864317807,AGN
peredhel_aeruil_forodrim,0.3919046987370718,SN II
randir_dam_ennorath,0.22790543935908272,SLSN-I
saig_idhren_daen,0.29502178754087544,SN II
salab_hwiniol_ira,0.26360339520174164,SN IIn
agarwaen_Elrim_muinthel,0.24791260968366682,AGN
alae_lost_hu,0.38733902703290407,SN IIn
celair_daen_saew,0.15827546903445383,SN Ia
fang_lain_acharn,0.21730310544060435,AGN
glaur_daen_magor,0.21006137216383516,AGN
gli_nothrim_limlug,0.18416984742243186,SN Ia
gwend_aranarth_soga,0.14570497803012403,AGN
gwend_fuin_ris,0.26260367767944764,SN Ia
hu_amon_certh,0.24697448504318648,SN Ia
limlug_nestad_imrath,0.23422580142029834,SN Ia
merilin_haeron_lain,0.37568077728088445,AGN
minai_meldir_tinnu,0.18330542216420065,SN Ia
narthan_bregedur_honeg,0.2786601435596459,AGN
rochir_glamog_edlothiad,0.6728433839213426,SN Ia
ungol_glamog_bain,0.28468929424058004,AGN
Tawarwaith_melethril_drego,0.15682958106000855,AGN
Tawarwaith_puig_morn,0.1481252170081568,SN Ia
ah_gwaun_acharn,0.1524672931642503,AGN
aiglos_inias_tachol,0.15832692260753256,AGN
