n_observations,flux_mean,flux_std,flux_median,flux_min,flux_max,flux_range,flux_skew,flux_kurtosis,flux_p25,flux_p75,flux_iqr,observation_duration,mean_time_interval,std_time_interval,flux_cv,flux_mad,flux_amplitude,flux_err_mean,flux_err_median,signal_to_noise_mean,flux_trend_slope,n_obs_u,flux_mean_u,flux_std_u,flux_max_u,n_obs_g,flux_mean_g,flux_std_g,flux_max_g,n_obs_r,flux_mean_r,flux_std_r,flux_max_r,n_obs_i,flux_mean_i,flux_std_i,flux_max_i,n_obs_z,flux_mean_z,flux_std_z,flux_max_z,n_obs_y,flux_mean_y,flux_std_y,flux_max_y,color_g_r,color_r_i,color_i_z,n_significant_detections,frac_significant_detections,n_peaks,object_id
65,0.9284827061538463,4.803444635408017,-0.36783976,-2.75628465,25.04734337,27.80362802,3.716601097986126,15.732256774695022,-1.28865838,0.98480425,2.27346263,1254.2718999999997,19.597998437499996,43.65131547870111,5.173434683889635,1.0566974299999998,13.90181401,0.512436326,0.34709593,4.149514498537009,-1.6348776198494455,5,0.584014802,1.1433333640274184,2.62629444,6,-0.374378625,0.6792117865902414,0.98480425,16,1.07451512,3.237376957399469,10.49938934,15,2.1115269619999997,6.333046076502661,22.95132322,12,1.2693932358333333,7.572197608513322,25.04734337,11,-0.40184468545454544,2.5832681310817223,5.86625017,-1.4488937450000001,-1.0370118419999996,0.8421337261666664,16,0.24615384615384617,18,Dornhoth_fervain_onodrim
167,0.38862155808383225,1.3714808590650234,0.09423679,-1.74708161,11.37549944,13.12258105,4.429631594792304,28.532851685949716,-0.09981713,0.442586895,0.542404025,2362.1559999999954,14.22985542168672,32.268294348531626,3.529091041236502,0.27881756999999996,6.561290525,0.5308325878443114,0.33320911,1.024883609032849,0.5607730404516997,15,0.027015419333333332,0.5642200451793207,1.06051365,16,0.1801970075,0.3621635656321477,1.25000955,35,0.2746845994285715,0.6575252631096373,2.62082436,37,0.3535917491891892,0.9678192914842447,5.19313886,35,0.5268137368571428,1.4903988907685448,7.22963913,29,0.7060717344827586,2.500888195680482,11.37549944,-0.09448759192857148,-0.07890714976061769,-0.17322198766795366,15,0.08982035928143713,55,Dornhoth_galadh_ylf
35,1.6913472105714284,2.6409384093815387,1.07672354,-6.40081627,6.61791528,13.01873155,-0.3662330831599253,1.632327150573559,0.300355895,3.161687865,2.86133197,1206.0218000000023,35.471229411764774,78.57533357680629,1.5614407218546729,1.14366583,6.509365775,0.3148482080000001,0.28599492,6.251681172418941,1.3133790368691691,5,0.006053633999999991,0.3277046210022534,0.36762412,9,0.5429704288888888,0.43293441430235274,1.25593369,5,1.300821968,0.9711568234868646,2.75107717,6,2.6038305216666666,2.8859275982935757,4.93863344,8,4.010965365000001,1.9506488357428646,6.61791528,2,0.032667224999999966,9.09831961193246,6.46615072,-0.7578515391111111,-1.3030085536666667,-1.407134843333334,25,0.7142857142857143,11,Elrim_melethril_thul
798,0.3753658160651629,0.8597592272776697,0.32739132,-7.64181817,5.35382124,12.995639409999999,-1.1604852738706184,14.859541342682355,-0.03509603,0.7294338175,0.7645298475,2858.4128999999957,3.5864653701380123,13.75555033444141,2.2904569102488996,0.37689652500000004,6.4978197049999995,0.4185316946365915,0.261604305,1.6571847374099264,0.5700983429277876,108,0.1529803225,0.44128736256971496,1.60790434,134,0.27850737850746266,0.3491503279725283,1.36933772,149,0.43487118557046983,0.5235337826856995,1.86556998,160,0.44572771975,0.6290632894811954,2.21872424,132,0.5311518760606062,0.7071604553988866,2.98638145,115,0.34326754973913043,1.806048691513174,5.35382124,-0.15636380706300718,-0.010856534179530142,-0.08542415631060624,171,0.21428571428571427,263,Ithil_tobas_rodwen
129,0.2338315717829457,1.146553675620301,0.30884466,-3.06039909,5.38446301,8.4448621,0.45348004886918514,2.5326916970371998,-0.56571718,0.84217603,1.4078932100000001,2202.306500000006,17.205519531250047,46.289059293813274,4.903331346053604,0.65670533,4.22243105,0.4315912024806202,0.30016729,0.888451595992433,-0.8565842904087316,13,-0.014067412307692321,0.4230085291328008,0.53041503,14,0.04620258357142859,0.8041147796617708,1.48095393,33,0.20959432787878787,1.078680133531313,2.34593682,28,0.3839420996428572,1.3502205870872488,5.38446301,27,0.296310367037037,1.099048370950365,2.70171627,14,0.2880672450000001,1.7043478962752368,2.37051937,-0.16339174430735928,-0.17434777176406932,0.08763173260582019,34,0.26356589147286824,39,Mirion_adar_Druadan
119,1.0243888689075629,1.1678274285355028,0.84678859,-6.35179869,4.50454881,10.8563475,-1.7226653737371922,12.965983087029757,0.36182804999999996,1.698520765,1.336692715,1998.8989999999976,16.939822033898285,38.79511865578503,1.140023543774843,0.60048737,5.42817375,0.5208449340336135,0.33120384,3.7491683211232836,0.7576261179326583,8,0.4222991875,0.30791847949532253,0.78536376,13,0.8061294192307693,0.3715851847348275,1.32760011,32,0.9477974887499999,0.5597363475954378,2.46754459,26,1.2010173661538461,0.9819212678290046,3.00878969,20,1.3976030425000001,0.9485047957663564,3.22094153,20,0.926808372,2.2965140923383567,4.50454881,-0.1416680695192306,-0.2532198774038462,-0.19658567634615398,55,0.46218487394957986,38,Mirion_lalaith_neledh
138,0.2597588066666667,0.5782337637444992,0.14797833999999999,-1.63261102,1.91451153,3.54712255,0.8957826497895209,1.799136255625693,-0.07929066,0.4334843725,0.5127750325,1615.6285999999964,11.792909489051068,35.48776727441129,2.2260410384719425,0.25615902,1.773561275,0.38800167536231883,0.30810855,1.0249604323944992,0.1526134851392778,11,0.04886889090909092,0.3604125455165098,0.6327496,15,0.04897945666666667,0.14130493332978025,0.37512773,27,0.23254963962962966,0.344762530898771,0.98646424,36,0.33033302583333335,0.6783037327360347,1.91451153,34,0.39498127352941176,0.6052930352957172,1.78036135,15,0.198284878,0.8827891559916435,1.76660961,-0.18357018296296299,-0.09778338620370369,-0.06464824769607841,17,0.12318840579710146,44,Rochirrim_lebdas_pethron
108,2.4140190522222222,2.327608483569167,2.0930537850000004,-2.26514845,9.53701062,11.80215907,0.542977957159839,0.17407656691291784,0.7134681975,4.0163018725,3.3028336749999996,1469.9090999999971,13.737468224299038,33.709394450992185,0.9642046865481405,1.5630018350000001,5.901079535,0.5046941926851852,0.33101420000000004,8.383082691929847,2.811743281583676,7,1.269675692857143,1.0868070500644542,2.40994838,9,1.5676932777777777,1.3608103057612198,3.2747386,26,2.80581981,2.141027792020694,7.75046833,21,2.2588677261904757,2.4397928579979484,6.50590459,26,2.430216606153846,2.305912954630348,6.19442464,19,2.8496799589473683,3.050443225253074,9.53701062,-1.2381265322222224,0.5469520838095243,-0.17134887996337023,74,0.6851851851851852,31,acharn_lend_Mithrim
162,0.06854626734567904,0.7222002166266617,0.097322115,-4.26361499,2.48508022,6.748695209999999,-1.3887218903116958,8.469824137351049,-0.1298186,0.4110712675,0.5408898675,2466.4253000000026,15.319411801242252,39.9511751759892,10.535952497378213,0.25645507500000003,3.3743476049999996,0.44976567796296285,0.310728925,0.8256726372573372,0.25969687937235675,12,0.089024425,0.15456520205636462,0.3804469,12,0.013263633333333337,0.10442678440192513,0.18830926,40,0.5706452022499999,0.33006339998586764,1.03553624,36,0.010512790000000003,0.30841451471864323,0.62957255,38,-0.06736505105263159,0.6789655562734627,2.48508022,24,-0.44863991583333335,1.3446715246237582,2.1131147,-0.5573815689166666,0.5601324122499999,0.0778778410526316,22,0.13580246913580246,50,achas_iar_gaur
103,0.5112550545631069,0.8985348946039088,0.27381419,-1.84192211,2.9756288,4.81755091,0.6834239837861359,0.5823964159261705,-0.040827304999999994,1.074006305,1.11483361,2830.316500000001,27.748200980392166,58.584902526167006,1.7575080903048517,0.43791838000000005,2.408775455,0.5264841231067962,0.32166896,1.5925523888872815,1.0985486845377506,5,0.396777506,0.47014351885698985,1.10195306,8,0.22591839875,0.4597522347860725,1.26468814,25,0.5454257564,0.7462995261114019,1.9703033,23,0.48195158782608694,0.7270933580015303,2.24867997,23,0.43785781173913035,1.1224124856474005,2.72170012,19,0.7408829368421053,1.1874897018104162,2.9756288,-0.31950735765000005,0.06347416857391308,0.04409377608695658,22,0.21359223300970873,32,aduial_nur_luith
