object_id,Q_parameter,uv_excess,T_mean,T_median,T_std,T_max,T_min,T_is_constant,n_valid_bb_fits,color_u_g,color_g_r
Dornhoth_fervain_onodrim,,0.8341442078376446,2472.77854877207,2472.77854877207,0.0,2472.77854877207,2472.77854877207,1,1,,
Dornhoth_galadh_ylf,1.694166180846567,0.059390001534125526,3986.0887538781562,3986.0887538781562,2325.214787916574,6311.30354179473,1660.8739659615821,1,2,2.060339653511215,0.4577168408308099
Elrim_melethril_thul,4.123016674532961,0.0032832514171414018,,,,,,0,0,4.881900044094706,0.9486042119521813
Ithil_tobas_rodwen,0.26345497937028417,0.21444479860105217,4196.023528439754,3823.2078556281344,3089.593174596253,27133.843471666092,1000.5054777289995,1,75,0.6505028332853691,0.4838098173938561
Mirion_adar_Druadan,,-0.05499445723538427,4294.676944828396,4294.676944828396,210.14080651803556,4504.817751346432,4084.5361383103605,1,2,,1.641783160425833
Mirion_lalaith_neledh,0.5613397465002167,0.24077353826915018,3630.5442668982705,3630.5442668982705,920.806317710746,4551.350584609017,2709.7379491875245,1,2,0.7019613123079672,0.17577695725968814
Rochirrim_lebdas_pethron,-1.3505497143289507,0.17358380200126342,,,,,,0,0,0.0024537010603307152,1.6912542692366017
acharn_lend_Mithrim,-0.2766766352813141,0.29031025342198685,3557.3902427021944,3578.700428951908,475.7935835983746,4129.16858634207,2964.3017128126057,1,3,0.22892072682478787,0.6319967026326274
achas_iar_gaur,-5.334523999911729,0.15246288388676857,,,,,,0,0,-2.067116674441918,4.0842591568372635
aduial_nur_luith,-1.3770566878878492,0.514397501233208,2604.736684376531,2604.736684376531,0.0,2604.736684376531,2604.736684376531,1,1,-0.6114886051503268,0.956960103421903
amath_gwador_helegnen,,0.0,1165.1630226073435,1165.1630226073435,0.0,1165.1630226073435,1165.1630226073435,1,1,-1.7842159165573914,
amlug_loss_ang,,0.0,,,,,,0,0,,
amon_imloth_luin,,-0.0921061562442093,3173.9780570725547,3173.9780570725547,321.4153890559469,3495.3934461285016,2852.562668016608,1,2,,1.6467936817342217
andrann_puig_fern,,0.12498288944173298,,,,,,0,0,,
ang_cugu_harad,1.1833789257230343,0.027344559582009067,4025.7264783795936,4025.7264783795936,105.02112526204473,4130.747603641638,3920.705353117549,1,2,2.273176097933914,1.3622464652635997
ang_neledh_aith,-1.20833063157223,0.31524089892800755,,,,,,0,0,-0.25288473872595896,1.1943073660578387
angos_rusc_curunir,-1.4339271809846619,0.40480381687324013,,,,,,0,0,-0.5022114139605096,1.1646447087801903
annon_adab_lossen,0.36436416444415626,0.5633005254975129,,,,,,0,0,0.04958419397260205,-0.39347496308944274
araf_hub_faun,,-0.25326665226863515,12917.271081318157,4376.664015691908,23344.98632993654,93900.83086314921,1000.0901856207886,0,25,,-3.336140505888554
aras_ryn_manadh,,-0.005437076236199056,,,,,,0,0,,-0.19879085834003374
badhor_graw_aiglos,-0.33191325717658315,0.5108555959834348,4749.253707843222,4749.253707843222,476.0490590442005,5225.302766887423,4273.204648799022,1,2,-0.1458356541541621,0.23259700377802628
badhor_magol_merilin,-0.47888484609849696,1.0279448721259508,3756.1637417418206,4327.93868894549,1113.2944138968687,4740.686333958752,2199.866202321221,1,3,-0.6697493388668957,-0.2385806159604984
badhor_onodrim_alagos,0.318950987181665,0.21110883919267248,3975.498350841269,4348.777121141458,631.0874665578486,4636.761976411116,3075.1889930365865,1,5,0.6841171316635639,0.4564576806023736
baneth_pilin_tachol,-0.21202630657530785,0.13167748049251304,10624.829019744735,10624.829019744735,0.0,10624.829019744735,10624.829019744735,1,1,0.7183596409808781,1.1629824344452324
bragol_bronwe_lagor,-0.18893106340207422,0.18957757662474567,4850.152775272811,3458.0071989649173,3249.886914549993,11187.38852824349,1984.6389412791239,1,5,0.5210014354295549,0.8874156235395363
bragol_nothrim_gas,-4.497221902416206,0.9878151989865719,,,,,,0,0,-2.5407835280038933,2.445547968015391
celair_aerlinn_aes,,-0.3856947089458013,2202.3606995226546,2202.3606995226546,0.0,2202.3606995226546,2202.3606995226546,1,1,,0.9879817374516908
cirion_ira_Ithil,-6.163523253700101,0.5536499133044737,4142.485294006917,4142.485294006917,0.0,4142.485294006917,4142.485294006917,1,1,-3.1537430013847993,3.7622253153941267
corch_faun_min,,-0.7096535981891021,,,,,,0,0,,1.0059673885972569
corf_Mirion_toll,-1.600926016417651,0.2390098051444537,3686.6715325569007,3686.6715325569007,0.0,3686.6715325569007,3686.6715325569007,1,1,-0.2957098448138531,1.6315202145047474
cuin_haudh_cenedril,0.7383688771573866,0.37274183279906786,6750.740582032725,4115.83135012993,5166.560883892228,15635.400264880613,3135.899362990425,0,4,0.47243878579569465,-0.3324126142021149
cuin_law_amon,,-0.04761627570674293,3219.433305661732,3219.433305661732,0.0,3219.433305661732,3219.433305661732,1,1,,-0.012741567093073947
dam_corch_agar,,-2.626846122581092,2005.731336415384,2005.731336415384,0.0,2005.731336415384,2005.731336415384,1,1,,
dirnaith_achas_noroth,-0.17925933410429074,0.34765554802636844,5580.646136262937,5580.646136262937,0.0,5580.646136262937,5580.646136262937,1,1,0.1611116231745373,0.425463696598535
drafn_araf_ryn,,-0.013271920861058922,,,,,,0,0,,-0.2150391492675494
eilian_pilin_fang,,-0.295665049798144,,,,,,0,0,,1.1190100119746724
eilian_pod_firiel,2.3108171551520296,0.16564574882702798,,,,,,0,0,1.5675346185869041,-0.9291031707064068
elu_rusc_nath,,-0.10767841777932613,,,,,,0,0,,-0.36652295363809717
elvellon_fast_annon,-0.7356181945667286,0.22935904482885533,4021.655812817259,4021.655812817259,0.0,4021.655812817259,4021.655812817259,1,1,0.153778733134593,1.111746159626652
ennorath_guldur_aear,1.1565657953776978,0.24198159029798644,4512.670201416354,4512.670201416354,0.0,4512.670201416354,4512.670201416354,1,1,0.9237548859204946,-0.29101363682150405
erchion_ungol_aduial,1.8637169852862359,0.2036749222122115,1306.0586755404975,1306.0586755404975,306.0586755404974,1612.117351080995,1000.0000000000001,1,2,1.2798109755088563,-0.7298825122217244
espalass_melethron_ungol,0.5185897621336066,0.040761481141368905,4662.395175920862,4662.395175920862,0.0,4662.395175920862,4662.395175920862,1,1,1.7248296627921,1.5077998758231166
espalass_nestad_hul,-0.7431856554925714,1.1489494837523855,3831.020753746983,3831.020753746983,1261.439786409947,5092.46054015693,2569.580967337036,1,2,-0.8428329906639502,-0.12455916896422348
fae_haeron_merilin,,-0.017447735002567414,,,,,,0,0,,0.6534068209040205
fang_ira_nell,,-0.12415098067735422,,,,,,0,0,,0.8671759960157853
fast_ang_lebenedh,,0.1897395805881818,,,,,,0,0,,
fast_celeb_bregedur,-0.9892703055019281,5.454681218556409,,,,,,0,0,-2.1067421492022906,-1.396839804625453
firiel_lend_mithril,-1.9357997102896158,0.2483980014103293,,,,,,0,0,-0.4867477094825352,1.8113150010088506
fuin_bragol_talraph,0.44921723612277176,0.1869954693881893,3353.777074941328,3210.558032368564,255.55748725063737,3712.7551284614865,3138.018063993933,1,3,0.8151938619416976,0.45747078227365734
galad_thangail_pethron,,0.0,,,,,,0,0,,
gas_cair_gondrath,0.6862576313851803,0.38240056169646025,3119.5357558979713,3119.5357558979713,0.0,3119.5357558979713,3119.5357558979713,1,1,0.43620330937968055,-0.3125679025068747
gas_glaur_daen,1.5287452564511281,0.08384411328169299,4625.203682430858,4625.203682430858,0.0,4625.203682430858,4625.203682430858,1,1,1.7743939800748114,0.307060904529604
gaurwaith_Ithil_rhach,,-0.052541279650249774,,,,,,0,0,,-0.15700544420789125
gli_lembas_galadhrim,,-0.05661586716291379,7628.221039210095,2825.8435681319397,19240.84141068899,94784.74228255602,1000.5143678321281,0,37,,0.9293753730059833
gond_aduial_suil,-0.5197584682187772,0.249784485698769,,,,,,0,0,0.20695855482581504,0.9083962788057403
gond_pent_Dornhoth,,-0.0030912956793561226,,,,,,0,0,,2.12983676340352
gondrath_saer_rach,,-0.15756973742272154,4535.853214763209,4535.853214763209,3535.7881877865284,8071.641402549737,1000.0650269766807,1,2,,-0.34668819385912597
graw_heledir_lunt,,0.0,5062.8683226818475,5062.8683226818475,39.919879126247906,5102.788201808095,5022.9484435556,1,2,,
graw_idhren_narthan,0.9382981982563581,0.23468769621877314,3594.658152147107,3594.658152147107,0.0,3594.658152147107,3594.658152147107,1,1,0.8656532481219865,-0.0908061876679645
gul_braig_baug,0.09637179615941802,0.41763856429082336,3574.1731818163607,3574.1731818163607,235.69032604033737,3809.863507856698,3338.4828557760234,1,2,0.15692093610754876,0.07568642493516342
gwador_thurin_hal,-2.2179521760527257,0.7544028515253535,3736.5275300174862,3736.5275300174862,0.0,3736.5275300174862,3736.5275300174862,1,1,-1.2304692718036632,1.234353630311328
