object_id,target,Z,EBV
synthetic_0,1,0.7747,0.036
synthetic_1,1,0.2181,0.168
synthetic_2,1,0.4309,0.033
synthetic_3,1,0.2127,0.038
synthetic_4,1,0.344,0.015
synthetic_5,1,0.7998,0.071
synthetic_6,1,1.212,0.048
synthetic_7,1,0.482,0.065
synthetic_8,1,0.4863,0.041
synthetic_9,1,0.5288,0.066
synthetic_10,1,0.3905,0.019
synthetic_11,1,0.8096,0.029
synthetic_12,1,0.5993,0.06
synthetic_13,1,1.187,0.032
synthetic_14,1,0.667,0.085
synthetic_15,1,1.187,0.025
synthetic_16,1,0.402,0.015
synthetic_17,1,0.2032,0.033
synthetic_18,1,0.7949,0.006
synthetic_19,1,0.2479,0.442
synthetic_20,1,1.249,0.051
synthetic_21,1,0.3305,0.026
synthetic_22,1,0.343,0.442
synthetic_23,1,0.4422,0.076
synthetic_24,1,0.3856,0.022
synthetic_25,1,0.3779,0.04
synthetic_26,1,0.92,0.03
synthetic_27,1,0.5968,0.033
synthetic_28,1,0.1748,0.015
synthetic_29,1,0.5886,0.059
synthetic_30,1,0.4236,0.118
synthetic_31,1,0.3772,0.018
synthetic_32,1,0.4706,0.008
synthetic_33,1,0.2351,0.046
synthetic_34,1,0.08993,0.022
synthetic_35,1,0.309,0.018
synthetic_36,1,0.2015,0.312
synthetic_37,1,0.2847,0.022
synthetic_38,1,0.2775,0.141
synthetic_39,1,0.2499,0.091
synthetic_40,1,1.003,0.023
synthetic_41,1,0.414,0.06
synthetic_42,1,1.341,0.049
synthetic_43,1,0.1889,0.012
synthetic_44,1,0.09545,0.033
synthetic_45,1,1.108,0.101
synthetic_46,1,1.282,0.037
synthetic_47,1,0.4429,0.073
synthetic_48,1,0.4126,0.012
synthetic_49,1,0.3726,0.053
synthetic_50,1,0.6567,0.014
synthetic_51,1,0.433,0.037
synthetic_52,1,1.129,0.064
synthetic_53,1,0.3934,0.043
synthetic_54,1,0.2358,0.034
synthetic_55,1,0.9178,0.056
synthetic_56,1,0.363,0.073
synthetic_57,1,0.1868,0.019
synthetic_58,1,2.164,0.101
synthetic_59,1,0.318,0.056
synthetic_60,1,0.9974,0.031
synthetic_61,1,2.343,0.031
synthetic_62,1,0.2517,0.014
synthetic_63,1,0.7695,0.03
synthetic_64,1,0.4065,0.03
synthetic_65,1,0.2208,0.052
synthetic_66,1,0.4109,0.085
synthetic_67,1,0.3324,0.052
synthetic_68,1,0.7958,0.013
synthetic_69,1,0.3889,0.024
synthetic_70,1,0.3609,0.013
synthetic_71,1,0.8872,0.03
synthetic_72,1,0.9641,0.038
synthetic_73,1,1.529,0.021
synthetic_74,1,0.372,0.022
synthetic_75,1,0.3725,0.06
synthetic_76,1,0.2163,0.1
synthetic_77,1,0.2795,0.03
synthetic_78,1,0.3435,0.106
synthetic_79,1,1.883,0.037
synthetic_80,1,0.2911,0.194
synthetic_81,1,0.4074,0.023
synthetic_82,1,0.3376,0.036
synthetic_83,1,0.4922,0.014
synthetic_84,1,0.6919,0.08
synthetic_85,1,0.2217,0.103
synthetic_86,1,0.3042,0.022
synthetic_87,1,1.053,0.054
synthetic_88,1,0.3736,0.168
synthetic_89,1,0.7301,0.089
synthetic_90,1,0.3245,0.08
synthetic_91,1,1.275,0.02
synthetic_92,1,0.4678,0.072
synthetic_93,1,0.1736,0.026
synthetic_94,1,1.151,0.031
synthetic_95,1,0.3629,0.154
synthetic_96,1,0.2996,0.127
synthetic_97,1,0.1421,0.044
synthetic_98,1,0.2029,0.049
synthetic_99,1,1.021,0.006
synthetic_100,1,0.9258,0.046
synthetic_101,1,0.8954,0.012
synthetic_102,1,0.3609,0.014
synthetic_103,1,0.2796,0.021
synthetic_104,1,0.7824,0.012
synthetic_105,1,0.3035,0.043
synthetic_106,1,0.4158,0.025
synthetic_107,1,0.3634,0.144
synthetic_108,1,1.334,0.066
synthetic_109,1,1.346,0.106
synthetic_110,1,0.426,0.033
synthetic_111,1,0.361,0.018
synthetic_112,1,0.4359,0.137
synthetic_113,1,0.2858,0.109
synthetic_114,1,0.4938,0.125
synthetic_115,1,2.747,0.046
synthetic_116,1,2.238,0.126
synthetic_117,1,0.7083,0.106
synthetic_118,1,0.2898,0.106
synthetic_119,1,0.4835,0.011
synthetic_120,1,0.3096,0.068
synthetic_121,1,0.3052,0.035
synthetic_122,1,0.5968,0.013
synthetic_123,1,1.326,0.024
synthetic_124,1,0.345,0.046
synthetic_125,1,0.4273,0.201
synthetic_126,1,0.1872,0.02
synthetic_127,1,0.2984,0.018
synthetic_128,1,0.5131,0.094
synthetic_129,1,0.1774,0.041
synthetic_130,1,0.5833,0.036
synthetic_131,1,0.4201,0.023
synthetic_132,1,0.3275,0.012
synthetic_133,1,4.051,0.011
synthetic_134,1,0.1168,0.046
synthetic_135,1,0.1859,0.006
synthetic_136,1,0.3169,0.069
synthetic_137,1,0.3245,0.029
synthetic_138,1,1.225,0.034
synthetic_139,1,0.934,0.038
synthetic_140,1,0.343,0.035
synthetic_141,1,0.3096,0.037
synthetic_142,1,2.58,0.09
synthetic_143,1,0.2857,0.025
synthetic_144,1,0.967,0.07
synthetic_145,1,0.4161,0.036
synthetic_146,1,0.4261,0.041
synthetic_147,1,0.3984,0.011
synthetic_148,1,0.6719,0.009
synthetic_149,1,1.119,0.068
synthetic_150,1,0.5993,0.011
synthetic_151,1,0.5087,0.015
synthetic_152,1,0.5514,0.065
synthetic_153,1,0.153,0.138
synthetic_154,1,0.6737,0.009
synthetic_155,1,0.4471,0.073
synthetic_156,1,0.4893,0.076
synthetic_157,1,0.2896,0.044
synthetic_158,1,0.6775,0.07
synthetic_159,1,0.2092,0.023
synthetic_160,1,0.1393,0.045
synthetic_161,1,0.7925,0.014
synthetic_162,1,0.4915,0.028
synthetic_163,1,0.1189,0.028
synthetic_164,1,1.003,0.093
synthetic_165,1,1.145,0.016
synthetic_166,1,0.6753,0.021
synthetic_167,1,0.978,0.046
synthetic_168,1,0.601,0.134
synthetic_169,1,0.3637,0.076
synthetic_170,1,0.3553,0.031
synthetic_171,1,0.9365,0.052
synthetic_172,1,2.049,0.012
synthetic_173,1,0.6652,0.046
synthetic_174,1,0.2519,0.015
synthetic_175,1,0.3337,0.021
synthetic_176,1,0.6482,0.192
synthetic_177,1,0.8564,0.047
synthetic_178,1,0.3017,0.171
synthetic_179,1,1.179,0.076
synthetic_180,1,0.2374,0.028
synthetic_181,1,0.5582,0.094
synthetic_182,1,0.5058,0.134
synthetic_183,1,0.6737,0.043
synthetic_184,1,0.5103,0.009
synthetic_185,1,0.219,0.038
synthetic_186,1,0.1848,0.055
synthetic_187,1,0.5418,0.047
synthetic_188,1,0.4429,0.037
